s1,s2
"The Iago sparrow (Passer iagoensis), also known as the Cape Verde or rufous-backed sparrow, is a passerine bird of the sparrow family Passeridae",Iago sparrow scientific name Passer iagoensis
The Ibadan malimbe (Malimbus ibadanensis) is a rare species of bird in the family Ploceidae,Ibadan malimbe scientific name Malimbus ibadanensis
"The Ibera seedeater (Sporophila iberaensis) is a species of bird in the family Thraupidae, formerly included within the family of American sparrows (Emberizidae)",Ibera seedeater scientific name Sporophila iberaensis
"The Iberian chiffchaff (Phylloscopus ibericus) is a species of leaf warbler endemic to Portugal, Spain and North Africa, west of a line stretching roughly from the western Pyrenees via the mountains of central Spain to the Atlantic",Iberian chiffchaff scientific name Phylloscopus ibericus
The Iberian green woodpecker (Picus sharpei) is a medium-sized woodpecker endemic to the Iberian peninsula,Iberian green woodpecker scientific name Picus sharpei
"The Iceland gull (Larus glaucoides) is a medium-sized gull that breeds in the Arctic regions of Canada and Greenland, but not in Iceland (as its name suggests), where it is only seen during winter",Iceland gull scientific name Larus glaucoides
"The icterine greenbul (Phyllastrephus icterinus) is a species of songbird in the bulbul family, Pycnonotidae",Icterine Greenbul scientific name Phyllastrephus icterinus
The icterine warbler (Hippolais icterina) is an Old World warbler in the tree warbler genus Hippolais,Icterine Warbler scientific name Hippolais icterina
Ihering's antwren (Myrmotherula iheringi) is a species of bird in the family Thamnophilidae,Ihering's antwren scientific name Myrmotherula iheringi
The imitator goshawk or imitator sparrowhawk (Accipiter imitator) is a species of bird of prey in the family Accipitridae,imitator goshawk scientific name Accipiter imitator
"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica",Imperial Amazon scientific name Amazona imperialis
"The imperial shag or imperial cormorant (Leucocarbo atriceps) is a black and white cormorant native to southern South America, primarily in rocky coastal regions, but locally also at large inland lakes",Imperial Shag scientific name Leucocarbo atriceps
The imperial snipe (Gallinago imperialis) is a small stocky wader which breeds in the Andes,Imperial Snipe scientific name Gallinago imperialis
The imperial woodpecker (Campephilus imperialis) is a woodpecker species endemic to Mexico,imperial woodpecker scientific name Campephilus imperialis
"The Inaccessible Island finch (Nesospiza acunhae), also known as the Inaccessible bunting, is a species of bird in the family Thraupidae (formerly in Emberizidae)",Inaccessible Island finch scientific name Nesospiza acunhae
